SUMMARY,DTSTART,DTEND,DUE,NOTES,ATTENDEE,LOCATION,PRIORITY,URL
"Project Votes Due","09/13/2013 12:00 AM","09/14/2013 12:00 AM","","<a href="https://sites.google.com/site/washingtonuniversityhcicse556/project-rankings">Submit Your Project Votes</a>","","","",""
"Organizing Information","09/16/2013 12:00 AM","09/17/2013 12:00 AM","","Reading Summary Due <a href="https://sites.google.com/site/washingtonuniversityhcicse556/readings-1#TOC-Organizing-Information">[readings]</a>  <a href="https://sites.google.com/site/washingtonuniversityhcicse556/submit-a-reading-summary">[submit summary]</a>","","","",""
"Task Centered Design","09/18/2013 12:00 AM","09/19/2013 12:00 AM","","Reading Summary Due <a href="https://sites.google.com/site/washingtonuniversityhcicse556/readings-1#TOC-Task-Centered-Design">[readings]</a>  <a href="https://sites.google.com/site/washingtonuniversityhcicse556/submit-a-reading-summary">[submit summary]</a>","","","",""
"Initial Design","09/23/2013 12:00 AM","09/24/2013 12:00 AM","","Reading Summary Due <a href="https://sites.google.com/site/washingtonuniversityhcicse556/readings-1#TOC-Initial-Design">[readings]</a>  <ahref="https://sites.google.com/site/washingtonuniversityhcicse556/submit-a-reading-summary">[submit summary]</a>","","","",""
"Interaction Design Series - Maggie Breslin","09/27/2013 12:00 AM","09/28/2013 12:00 AM","","Reading Summary Due  <a href="https://sites.google.com/site/washingtonuniversityhcicse556/submit-a-reading-summary">[submit summary]</a>","","","",""
"Milestone 1 WriteUp Due","09/30/2013 12:00 AM","10/01/2013 12:00 AM","","Milestone 1 WriteUp and Team Member Ratings Due<a href="https://sites.google.com/site/washingtonuniversityhcicse556/milestone-1">[requirements]</a> <a href="https://sites.google.com/site/washingtonuniversityhcicse556/submit-team-member-ratings">[team member ratings]</a>","","","",""
"Milestone 1 WriteUp Due","10/02/2013 12:00 AM","10/03/2013 12:00 AM","","Milestone 1 WriteUp Due<a href="https://sites.google.com/site/washingtonuniversityhcicse556/milestone-1">[requirements]</a> <a href="https://sites.google.com/site/washingtonuniversityhcicse556/submit-team-member-ratings">[team member ratings]</a>","","","",""
"Paper Prototyping","10/09/2013 12:00 AM","10/10/2013 12:00 AM","","Reading Summary Due <a href="https://sites.google.com/site/washingtonuniversityhcicse556/readings-1#TOC-Paper-Prototyping">[readings]</a> <a href="https://sites.google.com/site/washingtonuniversityhcicse556/submit-a-reading-summary">[submit summary]</a>","","","",""
"User Testing 101","10/14/2013 12:00 AM","10/15/2013 12:00 AM","","Reading Summary Due <a href="https://sites.google.com/site/washingtonuniversityhcicse556/readings-1#TOC-User-Testing-101">[readings]</a>  <a href="https://sites.google.com/site/washingtonuniversityhcicse556/submit-a-reading-summary">[submit summary]</a>","","","",""
"Visual Design","10/16/2013 12:00 AM","10/17/2013 12:00 AM","","Reading Summary Due <a href="https://sites.google.com/site/washingtonuniversityhcicse556/readings-1#TOC-Visual-Design">[readings]</a>  <a href="https://sites.google.com/site/washingtonuniversityhcicse556/submit-a-reading-summary">[submit summary]</a>","","","",""
